"AÑO","CODIGOOBJETODELGASTO","CODIGOAUXILIAR","NOMBREOBJETODELGASTO","CODIGOGRUPO","CODIGOSUBGRUPO"
2011,42,98,"Compens.a la persona c/crédito p/economías PJ 465 L17296",0,4
2011,42,100," Distrib.part.reest.Esc.II(no equip) al VI-PJ  i2A458L17296",0,4
2011,42,101,"Comp.pers.trans.(no)absorbe c/n asc,var.t.suel",0,4
2011,42,102,"Compensación (origen 042/090) - A4 L17904",0,4
2011,42,103,"Mayor Resp.y espec. Esc.K-MDN Dto474/005 y CGN 12/01/06",0,4
2011,42,104,"Compensación Esc.L -MI -Artículo 86 Ley 18046",0,4
2011,42,105,"Comp.Personal Transitoria A.7 Ley 17.930",0,4
2011,42,106,"Compens.Personal Func.DGI redistribuidos",0,4
2011,42,107,"Diferencia de Retribución",0,4
2011,42,108,"Comp.Directores Hospitales,Institutos y Centros de Salud",0,4
2011,42,109,"Contribución comisiones de apoyo -A104 L18046 24/10/2006",0,4
2011,42,110,"Prima técnica c/aportes",0,4
2011,42,111,"Riesgo de función c/aportes",0,4
2011,42,112,"Servicio de vigilancia s/aportes",0,4
2011,42,113,"Servicio de vigilancia c/aportes",0,4
2011,42,114,"Reintegro aportes por cambio de rég.aportes-Serv.Vig.MI",0,4
2011,42,115,"Reintegro aportes por cambio de rég.aportes-MI",0,4
2011,42,116,"Comp.p/Especialidades Médicas-MI",0,4
2011,42,117,"Comp.p/carga horaria superior a 12hs sem",0,4
2011,42,118,"Comp.por asiduidad-NO anestésico-quirúrg.-MI",0,4
2011,42,119,"Comp.por asiduidad-anestésico-quirúrg.-MI",0,4
2011,42,120,"Comp.p/niveles de Conducción y Dirección-MI",0,4
2011,42,121,"Comp.por asiduidad-técnicos-MI",0,4
2011,42,122,"Compensacion por asignación de funciones",0,4
2011,42,123,"Funciona.Otr.Inc.Comisión o del Inc.p/tarea extrA.562 L18719",0,4
2011,42,400,"Compensación al cargo",0,4
2011,42,410,"Compensación al cargo especial",0,4
2011,42,500,"Compensación por Organismos Internacionales",0,4
2011,42,510,"Compensación especial por funciones especiales",0,4
2011,42,511,"Comp. especial por funciones especialm.encom. (discrecional)",0,4
2011,42,512,"Comp.alim.-Inc.02",0,4
2011,42,513,"Comp. especial  (discrecional)",0,4
2011,42,515,"Diferencia por aumento especial MSP",0,4
2011,42,516,"Compens.personal UCA",0,4
2011,42,517,"Compens.por tareas espec.mayor respons.y horario variable",0,4
2011,42,518,"Compens.a la función cargo SIRO",0,4
2011,42,520,"Compensación especial por cumplir condiciones específicas",0,4
2011,42,521,"Comp.especial por cumplir condiciones específ.(discrecional)",0,4
2011,42,522,"Diferencia a Tabla",0,4
2011,42,523,"Fondo participación 100% y Calificación sobre antigüedad",0,4
2011,42,524,"Dedicación exclusiva (SIRO)",0,4
2011,42,525,"Comp.especial p/cumplir condic.especificas discrec MRREE",0,4
2011,42,526,"Compensaciòn especial c/funciones en Cancillería-A166 L18172",0,4
2011,42,527,"Compensación Negociadores comerciales A167 L18172",0,4
2011,42,528,"Compensación especial func.SCRA",0,4
2011,42,529,"Diferencia al mínimo por escalafón",0,4
2011,42,530,"Comp. especial por horario nocturno o trabajo días inhábiles",0,4
2011,42,531,"Comp. sujeta a Compromisos de Gestión",0,4
2011,42,532,"Fondo para Mínimo Salarial",0,4
2011,42,533,"Comp.Evaluación Desempeño func.CGN",0,4
2011,42,534,"Comp. Controladores Tránsito Aéreo.MDN",0,4
2011,42,535,"Comp. Docentes con Título. MI",0,4
2011,42,536,"Reservado Rendicion de Cuentas 2010",0,4
2011,42,537,"Reservado Rendicion de Cuentas 2010",0,4
2011,42,538,"Reservado Rendicion de Cuentas 2010",0,4
2011,42,610,"Compensación Personal - Se absorbe",0,4
2011,42,611,"Nivel Retributivo Mínimo",0,4
2011,42,620,"Compensación Personal",0,4
2011,42,630,"Compensación Altos Ejecutivos",0,4
2011,42,710,"Incentivo por Presentismo",0,4
2011,42,720,"Incentivo por Rendimiento, Dedicación y/o Productividad",0,4
2011,42,721,"Incentivo Compromiso de Gestión-SIRO",0,4
2011,42,722,"Incentivo Compromiso Gestión MI",0,4
2011,42,723,"Incentivo Compromiso Gestión MI",0,4
2011,42,730,"Otros incentivos",0,4
2011,43,0,"Productividad y dedicación",0,4
2011,43,1,"Incentivo a la productividad-ASSE A.394 L.16736",0,4
2011,43,2,"Incentivo por productividad médica-ASSE  L.16.320 A.307",0,4
2011,43,3,"Complem.mensual a pers.c/dedic.integral a.116 L.16736",0,4
2011,43,4,"Compensación % por Dedicación Integral L.16320 a.77.-MDN",0,4
2011,43,5,"Retrib.mensual situac.excedencia 16226 A82",0,4
2011,43,6,"Compensación por tecnif. y fiscalización DGCasinos",0,4
2011,43,7,"Compen.según acuerdo programa DGCasinos",0,4
2011,43,8,"Compensación p/tareas prior.comet sust A183,193y221L17296",0,4
2011,43,9,"Encuestas-Tareas Ext.func.púb.(A63L17296-A125L15809-A200/1",0,4
2011,43,10,"Grupo p/repres.contrab.y control-MEF  lit.C) A166 L17296",0,4
2011,43,11,"Por mant.actividad con aport/Retiro oblig.Oficls.MI A5L15098",0,4
2011,43,12,"Por mant.actividad sin aporte/Retiro oblig.Oficls-MI A5L1509",0,4
2011,43,13,"%/tasa-Oficial Actuante matrim.a domic. A418L15809",0,4
2011,43,14,"Turnos y Feriados A256L17296 D169/003",0,4
2011,43,15,"Comp.Observ.Viático p/día embarque A204y 205 L17296D391/03",0,4
2011,43,16,"Incentivo p/funcionarios por evitar Pérdidas",0,4
2011,43,17,"Trabajo extraord-Convenio Int.Municip.-DNCatastro A114L15903",0,4
2011,43,19,"Suplemento Militar Grupo de Buceo D918/974,268/980,71/005",0,4
2011,43,20,"Por.func.pol ejec.pers su estab.carcelario y comis.A94 L1793",0,4
2011,43,21,"Personal Serv.Seguridad-Inc.02 A62 L17930",0,4
2011,43,22,"Comp.pers.pol.tar.adm.y cust.ex presid. A62 L17930",0,4
2011,43,23,"Prima p/rend.grupal e indv.-DGI nº1)y2)A23D166/005,A2L17706",0,4
2011,43,24,"Comp.Escolta Presidencial A114 L18172",0,4
2011,44,0,"Antigüedad",0,4
2011,44,1,"Prima por antigüedad",0,4
2011,45,0,"Complementos",0,4
2011,45,1,"Por gastos de represent.fuera país sin aportes A229L16736",0,4
2011,45,2,"Diferencia coef.y tipo de cambio A63a65L12801",0,4
2011,45,3,"Dif.Coef.Tipo Camb.Contrataciones MRREE",0,4
2011,45,5,"Quebrantos de caja",0,4
2011,45,6,"50%MisiónPaz:com.MDNA22L15167-m.of.MDNyMI A102L14157",0,4
2011,45,7,"Complemento reparación func. al amparo A21Ley16736",0,4
2011,45,8,"Dif.por aplic % s/dotac.Ministros Corte Electoral A486L17296",0,4
2011,45,9,"Multas, porcentaje para denunciante",0,4
2011,45,10,"Retrib.Adic.Esc.I yPart.conf.""Q""del PJ yequip.M.PúbyFis yTCA",0,4
2011,46,0,"Subrogación y acefalías",0,4
2011,46,1,"Diferencia por subrogación",0,4
2011,46,2,"Distr.econ.p/acefalia M.Sup.Cte.Justicia,T.Cont.Ad",0,4
2011,47,0,"Equiparación",0,4
2011,47,1,"Por equiparación de escalafones",0,4
2011,47,2,"Equipar.SalarialSimil.Responsab.Reforma Estado A.726 L.16736",0,4
2011,47,3,"Por equiparac.escalaf.SIN APORTES",0,4
2011,47,5,"Equip.Pers.Técnico Médico a sal.básico de ASSE A241 L18719",0,4
2011,47,500,"Equiparación a Militares",0,4
2011,48,0,"Aumentos especiales",0,4
2011,48,1,"Compensación por aumentos establecidos en A.vs.L.16736",0,4
2011,48,2,"Aumento especial  Art.2 Dec. 260/90",0,4
2011,48,3,"Aumento especial  Arts. 2 y 3 Dec. 221/993",0,4
2011,48,4,"Aumento Esp. Dec. 180/85",0,4
2011,48,5,"Aum.40%-Corte Electoral exc.esc.p/q - L.16462 A.164",0,4
2011,48,6,"Aumento - Decreto Nro. 26 de 19/01/94",0,4
2011,48,7,"% diferencial del aumento - A.182 L.16713",0,4
2011,48,8,"Adelanto a cuenta de futuros aumentos",0,4
2011,48,9,"Aumento sueldo - partida Dec.203/92",0,4
2011,48,10,"Aum.30%-Trib.Ctas.esc. A al D y F,L16462 A158 y modif",0,4
2011,48,11,"Aumento Corte Electoral 6% A.528 L16736",0,4
2011,48,12,"Comp.del 5,3%-personal esc. K y Equip. - L.16.333 A.2",0,4
2011,48,13,"Aumento diferencial A.N.E.P.",0,4
2011,48,14,"Diferencial  aumento policial Art. 181 Ley 16.713/Ley 16736.",0,4
2011,48,15,"Aumento MDN A2y MI Art.3Ley 17.269 28/9/2000",0,4
2011,48,16,"Aum.Universidad./Doc.y no doc. partida Ley17296 vigenc.2001",0,4
2011,48,17,"Aum.salarial a partir del 1/5/03 D191/003",0,4
2011,48,18,"Complemento por no alcanzar mínimo Dec.256/004",0,4
2011,48,19,"Partid.p/redist.fun.doc.y no doc.UR y ANEP",0,4
2011,48,21,"Adic.ret.nom.<=$13000, Inc2a15,17al19y27,(excp.LyK)D259/05",0,4
2011,48,22,"Recup.salarial Esc.IIalVIIyR A389 Inc.16PJ y A420 Inc.19TCA",0,4
2011,48,23,"Recup.salarial Inc.2al27 A454 L17930ExcpPJ,TCAycargosA388)",0,4
2011,48,24,"Aumento Exclusivo MSP Art 271 lit A Ley 17930",0,4
2011,48,25,"Recup. salarial MSP A104 L18046",0,4
2011,48,26,"Recup.Salarial Enero/2007 A.454 L.17.930",0,4
2011,48,27,"Minimo de $ 850 Decreto Nº22/007",0,4
2011,48,28,"Recup.Salarial Enero/2008",0,4
2011,48,29,"Conv.salariales funcs.médicos,odont.,y profes.asist.ASSE",0,4
2011,48,30,"Conv.salariales funcs.no médicos-ASSE",0,4
2011,48,31,"Recup.Salarial Enero/2009",0,4
2011,48,32,"Recup.Salarial Enero/2010",0,4
2011,48,33,"Diferencia aumento Enero/2010",0,4
2011,48,34,"Incremento Retrib.Sal.a cargos y funciones contratadas MI",0,4
2011,48,35,"Incremento Ret.Sal Lit.C Art. 647 y 648 L.18.719 P Judicial",0,4
2011,48,36,"Incremento Retrib.Sal. Personal Técnico Serv.Salud MI",0,4
2011,48,37,"Incremento Retrib. Salarial INAU",0,4
2011,48,38,"Incremento Ret.Sal.Pers.Subalterno y Superior K y civil equ",0,4
2011,51,0,"Dietas",0,5
2011,51,1,"Horas docentes",0,5
2011,52,0,"Por trabajo en días inhábiles y nocturno",0,5
2011,52,1,"Por trabajo en horas nocturnas",0,5
2011,52,2,"Por trabajo en dias inhábiles",0,5
2011,53,0,"Licencias generadas y no gozadas",0,5
2011,53,1,"Licencia generada y no gozada p/jornaleros SCRA",0,5
2011,54,0,"Retribución Técnicos ases.econ.comer.y Aux.Adm.A97L15903",0,5
2011,54,1,"Retribución Curiales",0,5
2011,55,0,"Retribuciones Redistribuído Incor.y Excedentarios-Progs.800.",0,5
2011,55,1,"Incorp.trans.ANSE Inc13Pg701UE3, A33L17243yA12D13/003",0,5
2011,55,2,"Incorp.trans.AFE Inc10 Pg702UE1, A205L17930 Proy.Inv888",0,5
2011,55,3,"Incorp. PLUNA (para reg. 031) Inc2UE008Sev.Civil,Prog.703",0,5
2011,55,4,"Incorp.Ex-INA(para reg.031) enProgs.704 A378L17296",0,5
2011,55,5,"Incorp.Repaciones por Vía Administrativa A21L16736",0,5
2011,55,6,"Incorp.al MIE A230 L17296",0,5
2011,57,0,"Becas de trabajo y pasantías",0,5
2011,57,1,"Becas",0,5
2011,57,2,"Pasantías",0,5
2011,57,5,"Contratos de Trabajo a Término A29a43L17556 D85/003(F11)",0,5
2011,57,6,"Adscriptos Pres.de la República A65 L17930",0,5
2011,57,9,"Contratos p/tareas apoyo directo a Ministros o Directores",0,5
2011,57,10,"Adscriptos Art.58 Ley 18719",0,5
2011,57,11,"Adscriptos A57 L18719 de Incisos distinto al que lo contrata",0,5
2011,58,0,"Horas Extras",0,5
2011,58,1,"Horas Extras Comunes",0,5
2011,58,2,"Horas Extras Nocturnas",0,5
2011,59,0,"Sueldo anual complementario",0,5
2011,63,0,"Salario Vacacional",0,6
2011,64,0,"Contribuciones por asistencia médica",0,6
2011,66,0,"Ayuda de arrendamiento",0,6
2011,67,0,"Compensación por alimentación con aportes",0,6
2011,68,0,"Comp.alimentación sin aporte,día trab.A157y167L16713 D113/96",0,6
2011,68,2,"Comp.alimentación c/aporte",0,6
2011,69,0,"Otros beneficios al personal",0,6
2011,69,2,"Compensación por perfeccionamiento técnico-DGCasinos",0,6
2011,69,3,"Prima por asistencia social-DGCasinos",0,6
2011,69,4,"Compensación por vestimenta-DGCasinos",0,6
2011,71,0,"Prima por matrimonio",0,7
2011,72,0,"Hogar constituído",0,7
2011,72,1,"Hogar Constituido Agreg.Com Ext.",0,7
2011,73,0,"Prima por nacimiento",0,7
2011,74,0,"Prestaciones por hijo",0,7
2011,74,1,"Prestaciones por hijo Agreg.Com.Exter.",0,7
2011,77,0,"Comp. por  hijo func. en el exterior y Dif. coef.",0,7
2011,78,0,"Prestaciones por salario vacacional",0,7
2011,79,0,"Otros beneficios familiares",0,7
2011,79,1,"Prima Solidaria Familiar MDN A80 L17930",0,7
2011,81,0,"Aporte patronal sistema seguridad social s/retrib.",0,8
2011,81,1,"Aporte patronal funciones permanentes en el Exterior",0,8
2011,82,0,"Otros aportes patronales sobre retribuciones a F.N.V.",0,8
2011,82,1,"Otros aport. patrs. s/retribs a F.N.V.-func.perm.en Exterior",0,8
2011,83,0,"Aporte patronal por Serv.Bonif.(Cód.Ret.3.05)",0,8
2011,84,0,"NO VIGENTE Aporte patronal a DISSE",0,8
2011,85,0,"Complemento Contribución Patronal cuota mutual",0,8
2011,86,0,"Aporte patronal a Fondo Reconv. Laboral",0,8
2011,87,0,"Aporte patronal a FONASA",0,8
2011,87,1,"Aporte patronal a FONASA-func.perm. en el Exterior",0,8
2011,88,0,"Pago Seguro Contratado con el Banco Seguros del Estado",0,8
2011,89,0,"Otras cargas legales sobre servicios personales",0,8
2011,91,0,"Retribuciones de ejercicios vencidos A49 L17930",0,9
2011,91,7,"Economías ejercicios vencidos/vig.hasta 2011",0,9
2011,91,8,"Economías ejercicios vencidos/vig.hasta 2012",0,9
2011,91,9,"Economías ejercicios vencidos/vig.hasta 2013",0,9
2011,91,10,"Economías ejercicios vencidos/vig.hasta 2014",0,9
2011,92,0,"Partidas globales a distribuir",0,9
2011,92,1,"Partida global a distribuir p/contratos del PNUD",0,9
2011,92,2,"Partida global a distribuir p/ Adscriptos",0,9
2011,92,3,"Partida a distribuir proveniente del A4 i2 L17904",0,9
2011,92,4,"Partida global para reformulación de estructuras",0,9
2011,92,5,"Partida global para escalafón conducción",0,9
2011,92,6,"Partida globlal por cese de incentivo por retiro",0,9
2011,92,7,"Partida global p/reestructuras A6 L18362",0,9
2011,92,8,"Partida Indisponible (ver detalle)",0,9
2011,94,0,"4%créd.vacantes/rehabilt.cargo o func.pers.discp.A9.L17296",0,9
2011,95,0,"Fondos Presupuestales",0,9
2011,95,2,"Fondo para Contratos Temporales Dcho. Público",0,9
2011,95,3,"Fondo para Contrataciones Cachet",0,9
2011,95,4,"Fondo para Contratos Laborales",0,9
2011,95,5,"Fondo p/financiar funciones transitorias y de conducción",0,9
2011,95,999,"Reserva de crédito contratos a término",0,9
2011,96,0,"NO VIGENTE - Crédito vacantes(deducido el 4% pers.disc.)",0,9
2011,97,0,"NO VIGENTE Economías CEPRE Ley 16736",0,9
2011,97,11,"NO VIGENTE Partida a Reasignar proveniente de Economías",0,9
2011,98,0,"Serv.Personales  para uso excl.Entes Descentr.Pto.Nal.",0,9
2011,98,1,"NO VIGENTE Partida  ANEP y UDELAR",0,9
2011,99,0,"Otras retribuciones",0,9
2011,99,1,"Partida Proyectada",0,9
2011,99,2,"Financiaciòn de Estructuras Organizativas",0,9
2011,99,3,"Retribribuciones Personales p/distribución Grupo 0.",0,9
2011,99,95,"Partida para Recomposición de Estructuras Remunerativas",0,9
2011,99,99,"NO VIG.Partida global SIMPLI a nivel de Inciso",0,9
2011,111,0,"Alimentos para personas",1,1
2011,111,1,"Alimentos para personas adquiridos a través de U.C.A.A.",1,1
2011,112,0,"Alimento para animales",1,1
2011,113,0,"Productos pecuarios",1,1
2011,114,0,"Productos agroforestales y sus manufacturas",1,1
2011,115,0,"Materias primas agropecuarias y forestales",1,1
2011,116,0,"Materias primas de origen acuático",1,1
2011,119,0,"Otros",1,1
2011,121,0,"Hilados y telas",1,2
2011,122,0,"Prendas de vestir",1,2
2011,122,1,"Dif. Reintegro por concepto de Equipo OficialesMDN",1,2
2011,122,2,"Equipos para el personal de vigilancia en playas",1,2
2011,122,3,"Uniformes área asistencial-Sect.Salúd",1,2
2011,122,4,"Uniformes área no asistencial-Sect.Salúd",1,2
2011,122,5,"Ropa usuarios internación-Sect.Salúd",1,2
2011,122,301,"Dif.reintegro p/Equipos Oficiales-Militar",1,2
2011,123,0,"Confecciones textiles",1,2
2011,124,0,"Cuero, pieles y similares",1,2
2011,129,0,"Otros",1,2
2011,131,0,"Papeles de oficina",1,3
2011,132,0,"Productos de papel y cartón",1,3
2011,133,0,"Formularios , impresos  y similares",1,3
2011,134,0,"Productos de artes gráficas",1,3
2011,135,0,"Libros, revistas y otras publicaciones",1,3
2011,135,1,"Libros, revistas, art.tecnicos, guias en formato digital",1,3
2011,136,0,"Especies timbradas y valoradas",1,3
2011,139,0,"Otros",1,3
2011,141,0,"Combustibles derivados del petróleo",1,4
2011,141,1,"Combustible de aeronaves",1,4
2011,142,0,"Electricidad",1,4
2011,143,0,"Supergas",1,4
2011,144,0,"Carbón mineral",1,4
2011,145,0,"Productos energéticos de origen vegetal",1,4
2011,146,0,"Energía nuclear",1,4
2011,149,0,"Otros",1,4
2011,151,0,"Lubricantes y otros derivados del petróleo",1,5
2011,152,0,"Productos medicinales y farmacéuticos",1,5
2011,153,0,"Productos veterinarios",1,5
2011,154,0,"Compuestos químicos, tintas y pinturas",1,5
2011,154,1,"Oxígeno (UCAMAE)",1,5
2011,154,2,"Reactivos (UCAMAE)",1,5
2011,154,3,"Oxígeno líquido-Sect.Salúd",1,5
2011,154,4,"Oxígeno balones-Sect.Salúd",1,5
2011,155,0,"Abonos, fertilizantes, fumigantes, etc.",1,5
2011,156,0,"Productos plásticos , acrílicos y similares",1,5
2011,157,0,"Artículos de caucho",1,5
2011,158,0,"Municiones y explosivos",1,5
2011,159,0,"Otros",1,5
2011,161,0,"Productos de loza,ceramica y similares",1,6
2011,162,0,"Productos de vidrio",1,6
2011,163,0,"Materiales de construcción",1,6
2011,163,1,"Materiales de construcción -  Convenio",1,6
2011,164,0,"Petróleo y gas natural",1,6
2011,169,0,"Otros",1,6
2011,171,0,"Productos básicos de hierro y acero",1,7
2011,172,0,"Productos básicos metalicos no ferrosos",1,7
2011,173,0,"Accesorios metalicos",1,7
2011,174,0,"Estructuras metalicas acabadas",1,7
2011,175,0,"Material y équipo bélico",1,7
2011,176,0,"Herramientas menores",1,7
2011,179,0,"Otros",1,7
2011,191,0,"Utiles de oficina",1,9
2011,192,0,"Elementos de limpieza y de aseo",1,9
2011,193,0,"Artículos y accesorios eléctricos",1,9
2011,194,0,"Artículos menores médico quirúrgicos",1,9
2011,195,0,"Artículos educacionales, culturales,deportivos y recreativos",1,9
2011,196,0,"Utiles de cocina,comedor,baño",1,9
2011,197,0,"Artículos y accesorios de informática",1,9
2011,198,0,"Repuestos y accesorios",1,9
2011,198,1,"Repuestos y Accesorios uso exclus.Incisos 25,26 y 27",1,9
2011,198,2,"Dispositivo de Control Vehicular ANCAP-Clearing",1,9
2011,198,3,"Repuestos y accesorios-equip.médicos-Sect.Salúd",1,9
2011,198,4,"Repuestos y accesorios-transporte-Sect.Salúd",1,9
2011,198,5,"Dispositivo  trazabilidad de semovientes",1,9
2011,199,0,"Otros bienes de consumo no incluidos en los anteriores",1,9
2011,199,1,"no vigente",1,9
2011,211,0,"Teléfono, telégrafo y similares",2,1
2011,212,0,"Agua",2,1
2011,213,0,"Electricidad",2,1
