"AÑO","CODIGOINCISO","CODIGOPROGRAMA","CODIGOPROYECTO","NOMBREPROYECTO"
2011,2,421,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,421,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,421,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,421,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,421,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,421,710,"Unidad Nacional de Seguridad Vial"
2011,2,421,711,"Equipo personal e instrumentos para fiscalización"
2011,2,421,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,421,717," Equipamiento y compra de un servidor central de Red"
2011,2,421,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,421,730,"Equipamiento Informático"
2011,2,421,734,"Soporte informático"
2011,2,421,736,"Reparación de edificios"
2011,2,421,738,"Adquisición de mobiliario y equipos"
2011,2,421,743,"Competitividad de conglomerados"
2011,2,421,744,"Microfinanzas y articulación productiva"
2011,2,421,746,"Programa de Apoyo al Sector Productivo"
2011,2,421,801,"Portal del Estado"
2011,2,421,802,"Intranet del Estado"
2011,2,421,803,"Ventanilla Única"
2011,2,421,804,"Equipamiento informático y de oficina"
2011,2,421,805,"Fortalecimiento de las Áreas de TI"
2011,2,421,806,"Certificado Digital Raíz"
2011,2,421,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,421,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,421,809,"Plataforma de Gobierno Electrónico"
2011,2,421,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,421,811,"Expediente Electrónico"
2011,2,421,812,"Sociedad de la Información"
2011,2,421,960,"Programa de Desarrollo Municipal"
2011,2,421,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,421,971,"Equipamiento y mobiliario de oficina"
2011,2,421,972,"Informática"
2011,2,421,973,"Inmuebles"
2011,2,421,974,"Vehículos"
2011,2,421,986,"Adquisición de vehículos"
2011,2,421,987,"Adquisición de equipos de computación"
2011,2,421,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,421,990,"Adquisición de equipos de comunicaciones"
2011,2,421,992,"Adquisición y refacción de inmuebles"
2011,2,481,0,"Funcionamiento"
2011,2,481,401,"Convenios Art.115 L18172"
2011,2,481,700,"Equipamiento, mobiliario y refacciones - J N Droga"
2011,2,481,701,"Equipamiento y mobiliario"
2011,2,481,702,"Equipamiento y remodelación del Mausoleo al General Artigas"
2011,2,481,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,481,704," Adquisición y remodelación  de inmuebles"
2011,2,481,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,481,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,481,707,"Equipamiento y mobiliario Area de Comunicación"
2011,2,481,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,481,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,481,710,"Unidad Nacional de Seguridad Vial"
2011,2,481,711,"Equipo personal e instrumentos para fiscalización"
2011,2,481,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,481,717," Equipamiento y compra de un servidor central de Red"
2011,2,481,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,481,730,"Equipamiento Informático"
2011,2,481,733,"Regulación de Servicios Públicos"
2011,2,481,734,"Soporte informático"
2011,2,481,736,"Reparación de edificios"
2011,2,481,738,"Adquisición de mobiliario y equipos"
2011,2,481,743,"Competitividad de conglomerados"
2011,2,481,744,"Microfinanzas y articulación productiva"
2011,2,481,746,"Programa de Apoyo al Sector Productivo"
2011,2,481,801,"Portal del Estado"
2011,2,481,802,"Intranet del Estado"
2011,2,481,803,"Ventanilla Única"
2011,2,481,804,"Equipamiento informático y de oficina"
2011,2,481,805,"Fortalecimiento de las Áreas de TI"
2011,2,481,806,"Certificado Digital Raíz"
2011,2,481,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,481,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,481,809,"Plataforma de Gobierno Electrónico"
2011,2,481,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,481,811,"Expediente Electrónico"
2011,2,481,812,"Sociedad de la Información"
2011,2,481,960,"Programa de Desarrollo Municipal"
2011,2,481,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,481,971,"Equipamiento y mobiliario de Oficina"
2011,2,481,972,"Informática"
2011,2,481,973,"Inmuebles"
2011,2,481,974,"Vehículos"
2011,2,481,986,"Adquisición de vehículos"
2011,2,481,987,"Adquisición de equipos de computación"
2011,2,481,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,481,990,"Adquisición de equipos de comunicaciones"
2011,2,481,992,"Adquisición y refacción de inmuebles"
2011,2,482,0,"Funcionamiento"
2011,2,482,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,482,701,"Equipamiento y mobiliario"
2011,2,482,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,482,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,482,704," Adquisición y remodelación  de inmuebles"
2011,2,482,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,482,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,482,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,482,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,482,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,482,710,"Unidad Nacional de Seguridad Vial"
2011,2,482,711,"Equipo personal e instrumentos para fiscalización"
2011,2,482,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,482,717," Equipamiento y compra de un servidor central de Red"
2011,2,482,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,482,730,"Equipamiento Informático"
2011,2,482,734,"Soporte informático"
2011,2,482,736,"Reparación de edificios"
2011,2,482,738,"Adquisición de mobiliario y equipos"
2011,2,482,743,"Competitividad de conglomerados"
2011,2,482,744,"Microfinanzas y articulación productiva"
2011,2,482,746,"Programa de Apoyo al Sector Productivo"
2011,2,482,801,"Portal del Estado"
2011,2,482,802,"Intranet del Estado"
2011,2,482,803,"Ventanilla Única"
2011,2,482,804,"Equipamiento informático y de oficina"
2011,2,482,805,"Fortalecimiento de las Áreas de TI"
2011,2,482,806,"Certificado Digital Raíz"
2011,2,482,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,482,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,482,809,"Plataforma de Gobierno Electrónico"
2011,2,482,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,482,811,"Expediente Electrónico"
2011,2,482,812,"Sociedad de la Información"
2011,2,482,960,"Programa de Desarrollo Municipal"
2011,2,482,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
2011,2,482,971,"Equipamiento y mobiliario de Oficina"
2011,2,482,972,"Informática"
2011,2,482,973,"Inmuebles"
2011,2,482,974,"Vehículos"
2011,2,482,986,"Adquisición de vehículos"
2011,2,482,987,"Adquisición de equipos de computación"
2011,2,482,988,"Adquisición de mobiliario y equipo de oficina"
2011,2,482,990,"Equipos de comunicaciones"
2011,2,482,992,"Adquisición y refacción de inmuebles"
2011,2,483,0,"Funcionamiento"
2011,2,483,700,"Equipamiento, mobiliario y refacciones - Junta Nacional de l"
2011,2,483,701,"Equipamiento y mobiliario"
2011,2,483,702,"Equipamiento y remodelación del Mausoleo al General  Artigas"
2011,2,483,703,"Red de interconexión Presidencia/Administración Pública"
2011,2,483,704," Adquisición y remodelación  de inmuebles"
2011,2,483,705,"Adquisición de vehículos y accesorios para los mismos"
2011,2,483,706,"Mobiliario y equipamiento de Casa Militar"
2011,2,483,707,"Equipamiento y Mobiliario Area de Comunicación"
2011,2,483,708,"Equipamiento y maquinaria del Establecimiento Anchorena"
2011,2,483,709,"Adquisición de maq., mobiliario y equipamiento de oficina"
2011,2,483,710,"Unidad Nacional de Seguridad Vial"
2011,2,483,711,"Equipo personal e instrumentos para fiscalización"
2011,2,483,712,"Mobiliario, instalaciones y equipamiento de oficina"
2011,2,483,717," Equipamiento y compra de un servidor central de Red"
2011,2,483,718,"Mobiliario, equipos de oficina, informáticos y software"
2011,2,483,730,"Equipamiento Informático"
2011,2,483,734,"Soporte informático"
2011,2,483,736,"Reparación de edificios"
2011,2,483,738,"Adquisición de mobiliario y equipos"
2011,2,483,743,"Competitividad de conglomerados"
2011,2,483,744,"Microfinanzas y articulación productiva"
2011,2,483,746,"Programa de Apoyo al Sector Productivo"
2011,2,483,801,"Portal del Estado"
2011,2,483,802,"Intranet del Estado"
2011,2,483,803,"Ventanilla Única"
2011,2,483,804,"Equipamiento informático y de oficina"
2011,2,483,805,"Fortalecimiento de las Áreas de TI"
2011,2,483,806,"Certificado Digital Raíz"
2011,2,483,807,"Fortalecimiento de procesos de Seguridad Informática"
2011,2,483,808,"Red Interadministrativa de alta velocidad del Estado Uruguay"
2011,2,483,809,"Plataforma de Gobierno Electrónico"
2011,2,483,810,"Fortalecimiento del Marco General de Uso de las TICs"
2011,2,483,811,"Expediente Electrónico"
2011,2,483,812,"Sociedad de la Información"
2011,2,483,960,"Programa de Desarrollo Municipal"
2011,2,483,970,"Desarrollo del Sistema Nacional de Inversiones Públicas"
