APcodigo,"apNombre",programaCodigo,"nombre","Objetivo","Alcance"
4,"CONTROL Y TRANSPARENCIA",261,"Protección derechos de los consumidores","Ejecutar y diseñar políticas dirigidas al seguimiento, difusión y cumplimiento de normas e informaciones de interés para el consumidor, de forma tal de lograr el equilibrio en las relaciones de consumo,  procurando mayor información y transparencia en el funcionamiento del mercado, eliminando los posibles abusos del sistema y las prácticas anticompetitivas","Controlar y monitorear las relaciones de consumo;  educar, asesorar y brindar al consumidor la información necesaria para que tenga un consumo eficiente y responsable a través de programas y planes y basados en la normativa que lo legisla. Intervenir  y sancionar las prácticas anticompetitivas y, en su caso autorizar las concentraciones de empresas, emitir instrucciones generales y particulares para la defensa del consumidor y de la competencia"
4,"CONTROL Y TRANSPARENCIA",262,"Control de asuntos fiscales, financ y gestión inst del Estado","Asesorar en materia económico y financiera del Estado y sobre Normas y Conductas de la Función Pública",""
4,"CONTROL Y TRANSPARENCIA",263,"Control de organismos que administran o reciben fondos públicos","Realizar el contralor económico, financiero, de legalidad y de gestión de los organismos que administran o reciben fondos públicos.",""
5,"CULTURA Y DEPORTE",280,"Bienes y servicios culturales","Aumentar el nivel de producción y disfrute de los bienes y servicios culturales por parte de los ciudadanos, en todo el territorio nacional, protegiendo y promoviendo el desarrollo de los derechos culturales, la calidad y la diversidad cultural",""
5,"CULTURA Y DEPORTE",281,"Institucionalidad cultural","Contribuir al desarrollo, a la preservación y a la difusión del acervo cultural de las instituciones culturales públicas y privadas, así como el estímulo de la interacción público-privado",""
5,"CULTURA Y DEPORTE",282,"Deporte comunitario"," Descentralizar la gestión del deporte al ámbito local, promover la participación ciudadana y el fortalecimiento de las organizaciones deportivas y ampliar la oferta de programas garantizando equidad de género e inclusión social.",""
5,"CULTURA Y DEPORTE",283,"Deporte federado","Promover, en conjunto con las federaciones uruguayas, el desarrollo del deporte en todo el país, en especial con niños, jóvenes y mujeres, a través del fortalecimiento institucional y la profesionalización de su gobernanza",""
6,"DEFENSA NACIONAL",300,"Defensa Nacional","Mantener un poder de disuasión sustentable y eficaz basado en el desarrollo y mantenimiento de las capacidades en favor de la defensa.",""
7,"DESARROLLO PRODUCTIVO",320,"Fortalecimiento de la base productiva de bienes y servicios","Desarrollar políticas transversales que estimulen el fortalecimiento de la estructura productiva en su conjunto, con foco en la competitividad y en el ambiente requerido para el fomento de la inversión productiva y tecnológica","Abarca el desarrollo de políticas para potenciar la competitividad, la integración regional productiva, la producción inteligente, innovación tecnológica y políticas de propiedad industrial, el financiamiento/crédito para el desarrollo, la captación y seguimiento de la inversión extranjera directa, la infraestructura productiva, la mejora del marco normativo de base, la calidad y eficiencia en los procesos internos, la facilitación del comercio internacional, el fomento de cooperativas de producción, las redes y consorcios de exportación, la asistencia técnica a emprendedores, la capacitación básica, la formalización e internacionalización de productores de artesanías, la certificación en calidad, sanidad animal y vegetal, trazabilidad de productos agropecuarios, turismo entre otros"
7,"DESARROLLO PRODUCTIVO",321,"Cadenas de valor intensivas en innovación","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor intensivas en innovación","Comprende el fomento específico a sectores cuya competitividad depende en gran medida de la superación de desafíos científico-tecnológicos (Economía del Conocimiento), tales como: Acuicultura, Biotecnología y mejoramiento genético, Electrónica e informática, Nanotecnología, Farmacéutica y Tecnologías de la salud y Turismo"
7,"DESARROLLO PRODUCTIVO",322,"Cadenas de valor motores de crecimiento","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor consideradas motores del crecimiento","Comprende el fomento específico a sectores considerados como Motores del crecimiento económico nacional, tales como: Aeronáutica, Audiovisual, Automotriz, Forestal, Turismo, Industrias de base y desarrollo tecnológico Energías Renovables, Manufacturas de madera e industria de la construcción,  Industrias de base y desarrollo tecnológico sector Minero, Naval, Pesca, entre otros"
7,"DESARROLLO PRODUCTIVO",323,"Cad. de valor generadoras de empleo y desarrollo prod local","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor generadoras de empleo y desarrollo productivo local","Abarca el fomento específico a sectores de actividad generadores de empleo y desarrollo productivo local, así como el apoyo a emprendimientos sociales de producción. Incluye sectores tales como: Agricultura familiar, Alimentos elaborados y bebidas, Apícola, Avícola, Calzado, Manufacturas de cuero, y Químicos/Plásticos, Suino, Textil, Turismo, Vestimenta, Vitivinícola, entre otros"
8,"EDUCACIÓN",1,"Consejo Directivo Central","El Consejo Directivo Central, de acuerdo a la Ley General de Educación Nº 18.437, es el órgano rector de la Administración Nacional de Educación Pública. El Consejo Directivo Central tiene la tarea de definir las orientaciones generales de los niveles y modalidades educativas que se encuentran en su órbita a las que se deberán ajustar los planes y programas que propongan los consejos de educación. Los cometidos de éste órgano están descriptos en el artículo 59 de la Ley General de Educación, integrando el Sistema Nacional de Educación Pública y debiendo contemplar la líneas transversales establecidas en la Ley Nº 18.437.",""
8,"EDUCACIÓN",2,"Educacion Inicial y Primaria","El Consejo de Educación Inicial y Primaria tiene a su cargo la cobertura pública de la educación básica a nivel nacional, considerando la obligatoriedad constitucional que establece la asistencia del menor a la escuela, y atendiendo a la población de las siguientes áreas: Educación Inicial, Educación Primaria y Educación Especial.",""
8,"EDUCACIÓN",3,"Educación secundaria","Compete a este Consejo impartir la Educación Secundaria pública en todo el territorio nacional, en dos ciclos: Ciclo Básico obligatorio y Educación Media Superior. La población a la que está dirigida son aquellas personas que acrediten haber aprobado el Ciclo de Educación Primaria. Es la principal responsabilidad del Consejo de Educación Secundaria la formación de ciudadanos para la participación en una sociedad democrática y solidaria, promoviendo el desarrollo de la personalidad del educando, la igualdad de oportunidades, la equidad de género, el respeto por las diversidades y la integración de los sectores sociales de las culturas propias de todos los actores. La habilitación y supervisión de la Educación Media Privada. Así como la administración de los servicios y dependencias a su cargo.",""
8,"EDUCACIÓN",4,"Educación técnico-profesional","El Consejo de Educación Técnico Profesional (Universidad del Trabajo del Uruguay), de acuerdo con las potestades conferidas por la Ley de Educación 15739, es responsable desde el Estado, del la Educación Técnica y Profesional. Tiene como cometido ofrecer una Educación científico-técnico-tecnológica profesional pertinente, de calidad, en concordancia con los lineamientos estratégicos nacionales en lo social y productivo. Desde esta perspectiva, la Universidad del Trabajo del Uruguay, se abocará a desarrollar políticas educativas diferenciadas e innovadoras, con propuestas formativas que atiendan todas las dimensiones del Ser Humano. Que posibilite a jóvenes y adultos la participación democrática como ser social y su inserción real en la producción, las artes y los servicios, con el conocimiento no sólo como valor agregado, sino como elemento esencial para integrarse crítica y constructivamente al mundo del trabajo.","En este sentido le compete asesorar, orientar,  promocionar, viabilizar, fortalecer y ejecutar acciones para dar respuesta e impulsar demandas sociales y productivas del medio o sector donde se encuentran insertos los diferentes Centros Educativos."
8,"EDUCACIÓN",5,"Formación en Educación","Formación de profesionales de la educación, incluyendo la formación de educadores sociales. La Ley General de Educación Nº 18.43, en su artículo nro. 31 define la formación en educación. Ésta... '""se concebirá como enseñanza terciaria universitaria y abarcará la formación de maestros, maestros técnicos, profesores, profesores de educación física y educadores sociales, así como de otras formaciones que el Sistema Nacional de Educación requiera'"".",""
8,"EDUCACIÓN",340,"Acceso a la Educación","Objetivos del Programa: 1.Mejorar el acceso al derecho a la educación en la primera infancia, especialmente a la población en situación de vulnerabilidad. 2.Garantizar el acceso al derecho a la educación formal en los tramos obligatorios a todos los habitantes del país y mejorar el acceso al derecho a la educación terciaria 3.Mejorar el acceso al derecho a la educación no formal"," "
8,"EDUCACIÓN",341,"Calidad de la Educación","Desarrollar políticas educativas para: 1. Mejorar la calidad de las propuestas educativas en la educación en la primera infancia. 2. Mejorar los niveles de aprendizaje y  la calidad de las propuestas educativas en la educación formal. 3. Mejorar la calidad de las propuestas educativas en la educación no formal.","  "
8,"EDUCACIÓN",342,"Coordinación de la Educación","Desarrollar políticas para:  1. Mejorar el funcionamiento del Sistema Nacional de Educación.  2. Mejorar la elaboración de políticas educativas nacionales.  3. Mejorar la participación nacional en los ámbitos internacionales de educación.",""
8,"EDUCACIÓN",343,"Formación y Capacitación","Brindar formación y capacitación en áreas específicas",""
8,"EDUCACIÓN",344,"Educación inicial","Estimular el desarrollo afectivo, social, motriz e intelectual en niños/as menores de 5 años con el propósito de facilitar la transición entre el hogar y la Educación Primaria",""
8,"EDUCACIÓN",345,"Educación primaria","Brindar los conocimientos básicos y desarrollar principalmente la comunicación y el razonamiento que permitan la convivencia responsable en la comunidad",""
8,"EDUCACIÓN",346,"Educación media","Profundizar el desarrollo de las competencias y los conocimientos adquiridos en el nivel primario, promoviendo el dominio teórico-práctico de diferentes disciplinas y tendiendo hacia un mayor grado de orientación o especialización","Comprende lo establecido en los artículos 26 y 27 de la Ley de Educación (N°18.437):  Artículo 26. (De la educación media básica).- La educación media básica abarcará el ciclo inmediato posterior a la educación primaria. Profundizará el desarrollo de las competencias y los conocimientos adquiridos y promoverá el dominio teórico-práctico de diferentes disciplinas que pueden ser, entre otras, artísticas, humanísticas, biológicas, científicas y tecnológicas.  Artículo 27. (De la educación media superior).- La educación media superior abarcará hasta tres años posteriores a la educación media básica, según las modalidades ofrecidas en el nivel y tendrá un mayor grado de orientación o especialización. Tendrá tres modalidades: la educación general que permitirá la continuidad en la educación terciaria (bachilleratos generales); la tecnológica que permitirá continuar estudios terciarios y la inserción laboral (bachilleratos tecnológicos); y la formación técnica y profesional que estará orientada principalmente a la inserción laboral. La culminación de todas sus modalidades permitirá la continuidad educativa."
8,"EDUCACIÓN",347,"Académico","Desarrollar las actividades sustantivas universitarias  de enseñanza, investigación y extensión de manera integral,  así como también la gestión,  en cada uno de los Servicios universitarios",""
8,"EDUCACIÓN",348,"Desarrollo Institucional","Impulsar las políticas globales de la institución relacionadas con el desarrollo equilibrado de las funciones universitarias, el crecimiento de las actividades de investigación e innovación, la mejora de los instrumentos y condiciones  de formación de sus estudiantes, el afianzamiento de un cuerpo docente de alta calidad y el fortalecimiento de la extensión universitaria. Promover la comunicación institucional así como las vinculaciones regionales e internacionales de la UDELAR. Modernizar la estructura académica. Mejorar la gestión instrumentando sistemas administrativos de alta calidad, profundizando la capacitación y el desarrollo de los funcionarios técnicos, administrativos y de servicios.",""
8,"EDUCACIÓN",349,"Bienestar Universitario","Optimizar las condiciones de estudio y trabajo en la Institución, actividades de esparcimiento y relacionamiento social, cultura y deporte; fortaleciendo la formación integral de sus estudiantes y funcionarios y su integración efectiva a la vida universitaria. Promover mayor equidad en el ingreso efectivo, fortaleciendo los programas de becas para estudiantes. Fomentar la participación en el cogobierno universitario. Desarrollar programas que atiendan los aspectos de Seguridad y Salud Laboral para el mejor desempeño de las actividades universitarias.",""
8,"EDUCACIÓN",350,"Atención a la Salud en el Hospital de Clínicas","Contribuir a mejorar la atención a la salud de la población, con su perfil de hospital de alta complejidad y de referencia nacional, fortaleciendo el eje público del Sistema Nacional Integrado de Salud, participando en la formación de los recursos humanos en salud y la generación y aplicación de nuevos conocimientos, con alto contenido ético y de responsabilidad social",""
8,"EDUCACIÓN",351,"Desarrollo de la Universidad en el interior del país","Impulsar fuertemente el desarrollo de la enseñanza, la investigación y la extensión en todo el territorio nacional, contribuyendo a dar respuestas eficaces a los problemas nacionales priorizados en las diferentes áreas del conocimiento. Esta contribución se llevará a cabo a través de la creación de centros universitarios regionales, polos de desarrollo universitarios, programas regionales de enseñanza terciaria y la introducción del dictado de carreras universitarias en los centros regionales, entre otros.",""
8,"EDUCACIÓN",352,"Inversiones en infraestructura edilicia","Ampliar y modernizar la planta física, mejorar la red de comunicación y disponer del equipamiento adecuado para formar a los estudiantes universitarios de las próximas décadas y para desarrollar las actividades de investigación, extensión e innovación que requiere el Uruguay. Las construcciones previstas en todo el país respaldarán las acciones de toda la Enseñanza Pública orientadas a generalizar la enseñanza terciaria y universitaria en todo el territorio. Se priorizará aquellos servicios universitarios con mayor insuficiencia locativa y muy particularmente en el Interior de la República. Estos  objetivos se materializarán mediante la continuidad de un  Plan de Obras de Mediano y Largo Plazo ya  existente en la Universidad  para el período 2011-2020.  ",""
8,"EDUCACIÓN",353,"Desarrollo académico","Contribuir al desarrollo sustentable del país mediante actividades de enseñanza pública terciaria y terciaria universitaria en las diversas áreas del conocimiento, junto a la investigación, la innovación y el servicio al medio social.",""
8,"EDUCACIÓN",354,"SNIC - Formación y Servicios para la Infancia","Desarrollar una oferta de formación para el trabajo en cuidados que sea transversal al sistema, permita aumentar la cobertura y elevar la calidad de los servicios prestados y mejorar las condiciones de trabajo y la trayectoria educativa de quiénes se desempeñan en el sector. Implementar servicios de cuidado de calidad para la primera infancia, que estimulen el desarrollo de los niños y niñas, faciliten su acceso a la educación y brinden a los hogares una alternativa corresponsable de cuidados.",""
8,"EDUCACIÓN",601,"Administración de la Educación y Gestión de Políticas Transversales"," ",""
8,"EDUCACIÓN",602,"Educación Inicial"," ",""
8,"EDUCACIÓN",603,"Educación Primaria"," ",""
8,"EDUCACIÓN",604,"Educación Media Básica General - Tecnológica"," ",""
8,"EDUCACIÓN",605,"Educación Media Superior General - Tecnológica"," ",""
8,"EDUCACIÓN",606,"Educación Terciaria"," ",""
8,"EDUCACIÓN",607,"Formación en Educación"," ",""
8,"EDUCACIÓN",608,"Inversiones edilicias y equipamiento"," ",""
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",360,"Gestión y Planificación","Desarrollar la gestión de apoyo y planificación de los programas de infraesturctura y transporte, coordinando las acciones vinculadas con la administración de los recursos humanos, materiales y financieros",""
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",361,"Infraestructura Comunitaria","Desarrollar la infraestructura comunitaria con el propósito de mejorar las condiciones de vida de la población y profundizar la participación de la ciudadanía en la resolución de las prioridades de las respectivas comunidades","Comprende el desarrollo de infraestructura comunitaria mediante obras realizadas en conjunto con instituciones sociales. No incluye el financiamiento a infraestructura deportiva, que queda comprendido en el Programa Deporte Comunitario."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",362,"Infraestructura vial","Recuperar, mantener y desarrollar la infraestructura vial nacional (carreteras y puentes) en condiciones que permitan el desarrollo del transporte carretero con múltiples propósitos","Comprende la construcción, rehabilitación y desarrollo de la infraestructura de rutas nacionales, mediante distintas modalidades de ejecución, a efectos de facilitar el transporte de personas y bienes con seguridad, confort y a un menor costo operativo. No incluye la inversión del Gobierno nacional en infraestructura vial departamental, financiada por el programa 370."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",363,"Infraestructura fluvial y marítima","Mantener y desarrollar la infraestructura portuaria y las vías navegables de acuerdo a las necesidades del tranporte fluvial y marítimo para múltiples propósitos y administrar los álveos de domino público","Comprende el desarrollo, mantenimiento y administración de la infraestructura portuaria; en particular, puertos deportivos y vías navegables. También financia obras hidráulicas fluviales y costeras, por ejemplo, en materia de protección de las riberas, aprovechamiento hidráulico, etcétera, así como la gestión de álveos de dominio público, con inclusión de la regulación de la extracción de materiales."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",365,"Infraestructura edilicia","Conservar y desarrollar la infraestructura edilicia pública para el adecuado cumplimiento de los respectivos cometidos de los organismos del Estado, así como otras obras de interés público","Comprende la conservación y el desarrollo de la infraestructura edilicia pública y patrimonial para el adecuado cumplimiento de sus cometidos, mediante distintas modalidades de ejecución. Es decir, incluye financiamiento completo a obras patrimoniales y en el MTOP, así como gestión y asesoramiento de otras obras edilicias públicas financiadas con otros fondos (ej.: supervisión de obras de ANEP)."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",366,"Sistema de transporte","Diseñar, ejecutar y controlar la política de transporte en sus diversos modos, con miras a lograr las condiciones para el funcionamiento eficaz y eficiente del sistema multimodal de transporte","El programa comprende la definición y regulación de políticas de transporte de carga y pasajeros por carreteras, vías fluviales y marítimas, que son responsabilidad del Ministerio de Transporte y Obras Públicas a través de la Dirección Nacional de Transporte. Entre otras actividades vale mencionar: - regulaciones a servicios de transporte de pasajeros metropolitano de media y larga distancia; - gobernanza y promoción del uso de las hidrovías; - desarrollo de la marina mercante; - regulación del transporte de cargas por carretera. Incluye también los subsidios de Rentas Generales a la Administración de Ferrocarriles del Estado (AFE)."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",367,"Política e infraestructura aeronáutica","Ejecutar la política aeroportuaria civil nacional y mantener y desarrollar la infraestructura aeronáutica","El programa comprende: ? diseño de políticas y regulaciones tendientes a promover y garantizar la seguridad de la actividad aérea; ? funcionamiento de los aeropuertos y aeródromos a cargo de la DINACIA (todos excepto los de Carrasco y Laguna del Sauce, que fueron concesionados a privados); ? mantenimiento de la infraestructura aeronáutica no concesionada (pistas, hangares, oficinas, etc.); ? transferencias de Rentas Generales a PLUNA Ente Autónomo."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",368,"Energía","Garantizar el acceso adecuado a la energía para todos los sectores sociales, productivos y regiones del país","Comprende el diseño de políticas, la planificación, la prospectiva energética, la coordinación de actores y la gestión de concesiones en materia de energía. También incluye acciones de análisis, regulación y promoción del desarrollo de infraestructura y diversificación de la matriz energética con énfasis en energías autóctonas y renovables, buscando la eficiencia en todos los sectores de actividad.  Los principales ejecutores del programa son la Dirección Nacional de Energía del Ministerio de Industria, Energía y Minería, y la Comisión Técnica Mixta de Salto Grande."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",369,"Comunicaciones","Desarrollar la infraestructura y el marco regulatorio de las comunicaciones que fomente la democratización de la comunicación, la universalización del acceso y la inclusión social en la era digital y el desarrollo de las industrias del sector, promocionando el uso racional de la infraestructura de comunicaciones","La mayor parte de los recursos de este programa se destinan a subvencionar a la Administración Nacional de Correos. Además, comprende las actividades de promoción y regulación de mercados postales y de telecomunicaciones (radiales y satelitales) a cargo de la Dirección Nacional de Telecomunicaciones y Servicios de Comunicación Audiovisual (MIEM) y la Unidad Reguladora de Servicios de Comunicación (Presidencia de la República). También apoya parte de las actividades de inclusión digital, gobierno electrónico, gobierno abierto y sociedad de la información y el conocimiento a cargo de AGESIC (Presidencia de la República)."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",370,"Mantenimiento de la Red Vial Departamental","Mejorar la accesibilidad y movilidad del transporte de personas y cargas en la Red Vial de jurisdicción departamental, minimizando los costos operativos","Comprende la cooperación del Gobierno central con las Intendencias departamentales en el mantenimiento de las redes viales departamentales y caminería rural."
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",371,"Mantenimiento de la Red Vial Nacional y Sub nacional","Realizar obras viales bajo jurisdicción departamental mediante convenios con las respectivas Intendencias Departamentales que atiendan la situación de las rutas nacionales que han pasado a jurisdicción departamental, los tramos de rutas nacionales en áreas urbanas o los desvíos de tránsito de áreas urbanas, los accesos a puertos (incluyendo puertos secos), áreas de control integrados de cargas o pasajeros y terminales de intercambio de mercadería, a través de convenios con las Intendencias Departamentales",""
9,"INFRAESTRUCTURA, TRANSPORTE Y COMUNICACIONES",372,"Caminería Departamental","Realizar obras viales en caminos departamentales,  y  tramos de rutas nacionales en su atravesamiento por áreas urbanas  o desvíos de transporte de carga en áreas urbanas así como accesos a instalaciones de operación logística","Mantenimiento y rehabilitación de la red vial departamental y subnacional"
10,"MEDIO AMBIENTE Y RECURSOS NATURALES",380,"Gestión Ambiental y ordenación del territorio","Proteger el ambiente, promoviendo el uso sostenible y equitativo de los recursos naturales y culturales así como la integración social y productiva en el territorio",""
10,"MEDIO AMBIENTE Y RECURSOS NATURALES",381,"Política Ambiental Regional e Internacional","Participación en el desarrollo e implementación de políticas ambientales regionales e internacionales",""
10,"MEDIO AMBIENTE Y RECURSOS NATURALES",382,"Cambio Climático","Elaboración y promoción de políticas que den respuesta a la variabilidad y al cambio climático",""
11,"PROTECCIÓN Y SEGURIDAD SOCIAL",400,"Políticas transversales de desarrollo social","Desarrollar estrategias y planes de integración de niños, niñas, adolescentes, jóvenes, discapacitados, adultos mayores en las políticas sociales con un enfoque de género.","Apunta a promover el desarrollo social de la población en general, atendiendo situaciones específicas de vulneración de derechos, incorporando en las políticas públicas enfoques de: género, ciclos de vida, diferencias étnico-raciales, diversidad sexual y otras líneas de vulnerabilidad y discriminación.  A manera de lista no exhaustiva de ejemplos se pueden mencionar: - los recursos asignados al INAU para atención de niños, niñas y adolescentes, con exclusión del Plan CAIF (Programa 344. Educación inicial), atención sanitaria de población bajo tutela del INAU (Programa 440. Atención integral de la salud) y atención de adolescentes en conflicto con la ley penal (Programa 461. Gestión de la privación de libertad); - la generación de conocimiento en materia de seguridad alimentaria y campañas de difusión sobre problemas nutricionales desarrolladas por el MTSS a través del INDA; - transferencias a organizaciones de la sociedad civil que promueven el desarrollo social de grupos con vulnerabilidades específicas; - Actividades del MIDES tendientes a implementar estrategias transversales de desarrollo social (planes de juventud, mujer y familia, género, etc.), así como monitorear y evaluar políticas sociales."
11,"PROTECCIÓN Y SEGURIDAD SOCIAL",401,"Red de asistencia e integración social","Desarrollar y expandir una red de asistencia social que contemple situaciones de vulnerabilidad socio económica, actuando como malla de contención y promoción de derechos ciudadanos","Apunta a la asistencia focalizada y específica para los grupos sociales más desfavorecidos, buscando garantizar niveles mínimos necesarios para la construcción de mecanismos de integración social. Estos planes focalizados también contemplan enfoques de género, diferencias étnicas raciales, ciclos de vida, diversidad sexual y otras líneas de vulnerabilidad y discriminación. "
11,"PROTECCIÓN Y SEGURIDAD SOCIAL",402,"Seguridad social","Prestar asistencia financiera a las instituciones de la seguridad social. Adicionalmente, comprende el desarrollo de la normativa en la materia que permita el asesoramiento, la administración y el control de las entidades de seguridad social.","Comprende la asistencia financiera a las instituciones de la seguridad social destinadas a cubrir su déficit. Estas transferencias, que se agrupan en el inciso 22, tienen como principal destino al Banco de Previsión Social pero también abarcan a las cajas Militar y Policial, Bancaria, Notarial y de Profesionales Universitarios. Asimismo se incluyen en este programa los recursos que financian la actividad de algunas unidades ejecutoras de la Administración Central con cometidos relacionados con la seguridad social."
11,"PROTECCIÓN Y SEGURIDAD SOCIAL",403,"Sistema Nacional Integrado de Cuidados - Protección Social","Promover la autonomía personal, la atención de personas dependientes y el desarrollo de estrategias corresponsables de cuidado para niños y niñas que se adecúen a las necesidades y capacidades de los hogares. Fortalecer las capacidades institucionales y su mejora continua, para el logro de tales objetivos en el corto, mediano y largo plazo.",""
12,"REGISTROS E INFORMACIÓN OFICIAL",420,"Información Oficial y Documentos de interés público","Producir, registrar y difundir Información oficial para la ciudadanía, custodiar y conservar los documentos de interés público",""
12,"REGISTROS E INFORMACIÓN OFICIAL",421,"Sistema de información territorial","Diseñar, realizar, conservar y administrar un sistema de información territorial y bienes inmuebles actualizado, con fines de ordenamiento territorial,  de planificación económica y social, fiscal y registral",""
12,"REGISTROS E INFORMACIÓN OFICIAL",422,"Registro de Empresas","Registrar, gestionar y proteger la información sobre las personas jurídicas cuyas actividades son de particular interés para el Estado","Incluye el registro e información de empresas de Obras Públicas y de Seguridad."
12,"REGISTROS E INFORMACIÓN OFICIAL",423,"Información y registro sobre personas físicas y bienes","Registrar, gestionar y proteger la información sobre las personas físicas, su estado civil, filiación, hechos vitales, sobre la propiedad de bienes físicos, y sobre derechos personales","Incluye los registros de identificación de las personas físicas, de su estado civil, su filiación, hechos vitales y los referidos a la propiedad de bienes físicos y sobre derechos personales."
13,"SALUD",440,"Atención Integral de la Salud","Desarrollar estrategias que contribuyan a garantizar el acceso y la calidad de la atención integral de salud","Este programa abarca la mayor parte del gasto público en salud, porque financia la prestación directa de servicios a través de centros de salud estatales (ASSE, hospitales Policial y Militar) y no estatales (ej.: CUDIM, Comisión Honoraria de Lucha Antituberculosa, entre otros). Las prioridades actuales son la ampliación de la cobertura de la población mediante el Sistema Nacional Integrado de Salud (SNIS) así como el fortalecimiento del primer nivel de atención. Además, el programa también financia varios (aunque no todos) los objetivos que se plantea el Ministerio de Salud Pública como rector del SNIS: desarrollar una política nacional de recursos humanos en salud adecuada a las necesidades del sistema; desarrollar una política de tecnología médica acorde al cambio del modelo que se impulsa; la habilitación de los servicios de salud de acuerdo con la normativa establecida por el MSP; así como implementar estrategias de complementación entre prestadores públicos y privados, aprovechando las sinergias en beneficio de los usuarios."
13,"SALUD",441,"Rectoría en Salud","Desarrollo de las funciones esenciales de conducción, regulación y vigilancia, así como las funciones de apoyo ministerial, para el eficaz y eficiente cumplimiento de los cometidos sustantivos","Este programa es de exclusiva participación del Ministerio de Salud Pública. Como objetivos específicos se plantean: mantener actualizado el diagnóstico de situación de salud de la población y respuesta oportuna, fortaleciendo el sistema de vigilancia en salud, así como la formulación de planes, programas y normas vinculados al sector."
13,"SALUD",442,"Promoción en  Salud","Desarrollar marcos, estrategias y acciones para mejorar la calidad de vida y disminuir el riesgo de enfermedad de la población en general así como de  grupos poblacionales en situación de vulnerabilidad","El programa financia actividades y políticas de prevención y promoción en salud orientadas a estimular estilos de vida saludables. Estas son desarrolladas e implementadas por organismos estatales (en su mayoría, ASSE) y no estatales. Entre los objetivos específicos de los Incisos participantes se destacan la realización de campañas de sensibilización y concientización sobre hábitos saludables, así como la promoción de la prevención a partir de los controles de salud en poblaciones de riesgo como embarazadas y niños."
13,"SALUD",443,"Ciencia y Tecnología de la salud","Desarrollar políticas de incentivo para promover la  investigación aplicada y el  desarrollo de insumos y procedimientos técnicos estratégicos para el sector  salud.",""
13,"SALUD",444,"Salud Ocupacional"," ",""
